CT,ScanPacket,CTHead2Tail,Mirrored,1,2,3,4
CT20180813,8,L2R,no,MN18040205,MN18040206,MN18040207,MN18040208
CT20180813,10,L2R,no,MN10AA2404,MN10AA2504,MN10AA2507,MN10AA2409
