ScanPacket,Process,x1,x2,y1,y2,z1,z2
8,True,"[ 18,196,363,582]","[178,339,541,700]","[169,218,225,204]","[298,306,311,299]","[191,166,152,114]","[395,372,322,285]"
10,True,"[ 40,279,439,606]","[256,408,571,684]","[198,218,227,223]","[278,284,283,268]","[205,222,252,183]","[371,373,324,307]"
